episode,ticker,friction_mode,total_reward,final_balance,growth_pct,benchmark_pct,alpha_vs_bh_pct,sharpe,sortino,num_trades,win_rate,max_drawdown,avg_dir_mean,std,new_best,is_bankrupt
26,NVDA,low,-0.1549,9980.57,-0.19,7.25,-7.44,-5.1566,-3.2728,33,0.3939,0.0028,0.014,0.1769,False,False,False
27,XBI,low,6.1518,9993.15,-0.07,16.37,-16.44,-1.7663,-1.3155,36,0.3611,0.0024,0.0173,0.1752,False,False,True
28,SPY,low,-4.638,9995.12,-0.05,3.68,-3.73,-14.4817,-10.0474,43,0.1395,0.0005,0.0127,0.1734,False,False,True
29,XBI,low,16.1776,10069.72,0.7,3.47,-2.77,8.5801,9.9078,44,0.5,0.0013,0.0121,0.1717,True,False,False
30,SPY,low,-7.9289,9993.91,-0.06,-4.54,4.48,-7.566,-4.2232,37,0.4324,0.0007,0.0125,0.17,False,False,False
31,SPY,low,1.4541,9995.62,-0.04,-1.19,1.15,-3.0565,-2.36,41,0.3902,0.0008,0.0113,0.1683,False,False,True
32,NVDA,low,6.412,9986.68,-0.13,15.29,-15.42,-5.0148,-3.0616,42,0.4762,0.0018,0.0107,0.1666,False,False,True
33,GLD,low,-14.1629,9991.1,-0.09,-2.61,2.52,-20.0939,-14.663,42,0.2857,0.0009,0.0102,0.165,False,False,True
34,SPY,low,3.4687,9991.11,-0.09,3.24,-3.33,-3.4327,-2.2161,38,0.3158,0.001,0.0032,0.1633,False,False,True
35,AAPL,low,3.1615,9997.79,-0.02,8.7,-8.72,-2.0289,-1.3532,41,0.4634,0.0008,0.0082,0.1617,False,False,False
36,XLE,low,-6.832,9995.12,-0.05,0.17,-0.22,-4.1163,-2.2262,40,0.45,0.0009,0.0171,0.1601,False,False,True
37,IWM,low,0.9904,9993.86,-0.06,1.46,-1.52,-3.6772,-2.5732,36,0.3611,0.0009,0.02,0.1585,False,False,True
38,GLD,low,-0.514,9996.5,-0.03,-0.05,0.02,-8.8742,-6.0588,38,0.2105,0.0004,0.0213,0.1569,False,False,False
39,NVDA,low,-0.2863,9987.23,-0.13,4.6,-4.73,-5.4289,-1.5596,17,0.6471,0.0014,0.0194,0.1553,False,False,True
40,AAPL,low,-2.9141,10015.82,0.16,-4.99,5.15,3.9671,3.8265,36,0.5278,0.0018,0.0123,0.1538,False,False,True
41,GLD,low,-6.8635,9993.8,-0.06,1.26,-1.32,-9.5314,-7.5029,37,0.2432,0.0007,0.0158,0.1522,False,False,True
42,IWM,low,-1.0283,9993.65,-0.06,-7.19,7.13,-2.0498,-1.6756,34,0.5,0.0024,0.0163,0.1507,False,False,False
43,IWM,low,-11.0678,9980.26,-0.2,5.15,-5.35,-11.981,-5.7145,55,0.3455,0.002,0.017,0.2487,False,False,True
44,SPY,low,5.2855,9992.28,-0.08,1.26,-1.34,-17.3306,-13.3104,60,0.2333,0.0008,0.02,0.2462,False,False,False
45,AAPL,low,0.8564,9997.98,-0.02,8.89,-8.91,-0.8435,-0.5949,55,0.4182,0.0011,0.0255,0.2438,False,False,False
46,AAPL,low,0.5076,9992.67,-0.07,-4.89,4.82,-4.2086,-2.4518,55,0.4182,0.0011,0.019,0.2413,False,False,False
47,AAPL,low,6.7059,9989.97,-0.1,4.94,-5.04,-2.744,-1.6463,53,0.3962,0.0024,0.0197,0.2389,False,False,False
48,GLD,low,-20.2132,9993.02,-0.07,2.89,-2.96,-7.1221,-6.2737,56,0.3036,0.0008,0.0272,0.2366,False,False,True
49,XBI,low,0.9056,9994.22,-0.06,5.29,-5.35,-1.8338,-1.1198,53,0.4906,0.0018,0.0287,0.2342,False,False,False
50,NVDA,low,-7.0685,9999.89,-0.0,13.87,-13.87,-0.0078,-0.0062,54,0.463,0.0039,0.0316,0.2319,False,False,False
51,GLD,low,-21.0321,9989.48,-0.11,-3.76,3.65,-14.4609,-11.662,54,0.2593,0.0011,0.0378,0.2295,False,False,False
52,AAPL,low,-0.458,9980.97,-0.19,-5.11,4.92,-7.4565,-3.6562,49,0.4694,0.0025,0.035,0.2273,False,False,True
53,AAPL,low,0.4171,9978.07,-0.22,10.78,-11.0,-10.1528,-4.998,52,0.4038,0.0027,0.0373,0.225,False,False,False
54,GLD,low,-2.548,9997.53,-0.02,4.63,-4.65,-1.1798,-1.3582,53,0.3208,0.0012,0.0367,0.2227,False,False,True
55,XBI,low,1.3015,9999.08,-0.01,7.3,-7.31,-0.3694,-0.3005,53,0.5283,0.0016,0.0345,0.2205,False,False,False
56,IWM,low,-15.5106,9983.36,-0.17,2.29,-2.46,-12.3036,-7.934,48,0.2917,0.0017,0.0378,0.2183,False,False,True
57,NVDA,low,3.0108,9974.01,-0.26,13.29,-13.55,-7.894,-5.2667,49,0.4694,0.0026,0.0388,0.2161,False,False,True
58,GLD,low,-17.616,9993.17,-0.07,3.92,-3.99,-8.1763,-7.9205,52,0.3077,0.0009,0.0401,0.214,False,False,True
59,AAPL,low,3.0016,9990.46,-0.1,-6.57,6.47,-4.1118,-3.4405,53,0.3962,0.0016,0.0381,0.2119,False,False,False
60,AAPL,low,-2.1725,9999.84,-0.0,2.26,-2.26,-0.0857,-0.069,47,0.5532,0.0011,0.0301,0.2097,False,False,True
61,AAPL,low,-17.6896,9986.2,-0.14,3.8,-3.94,-9.8788,-5.6877,48,0.3542,0.0018,0.0312,0.2077,False,False,True
62,SPY,low,0.4497,9996.87,-0.03,4.12,-4.15,-3.0289,-2.5146,49,0.3265,0.0008,0.0268,0.2056,False,False,False
