episode,ticker,total_reward,final_balance,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
96,ICICIBANK.NS,-3.0917,9362.14,5,0.2,0.0877,0.1238,False,False
97,ICICIBANK.NS,-2.2568,10134.05,5,0.6,0.0095,0.1235,False,False
98,HINDUNILVR.NS,-2.3055,10049.07,3,0.6667,0.002,0.1233,False,False
99,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.123,False,False
100,HINDUNILVR.NS,-2.5801,9829.8,5,0.0,0.017,0.1228,False,False
1,HINDUNILVR.NS,-2.6438,9146.05,43,0.5581,0.1112,0.1225,False,False
2,ICICIBANK.NS,-3.9803,8637.58,52,0.3846,0.1583,0.1223,False,False
3,HINDUNILVR.NS,-2.2924,9590.14,66,0.5303,0.153,0.122,False,False
4,ICICIBANK.NS,-1.3904,9686.34,64,0.5938,0.1831,0.1218,False,False
5,ICICIBANK.NS,-1.1525,10625.06,48,0.5833,0.0733,0.1216,False,False
6,ICICIBANK.NS,-0.8662,8999.79,57,0.5088,0.1377,0.1213,False,False
7,HINDUNILVR.NS,-2.4739,8842.49,55,0.4909,0.1813,0.1211,False,False
8,HINDUNILVR.NS,-2.3343,8923.13,61,0.4754,0.1361,0.1208,False,False
9,HINDUNILVR.NS,-3.2419,9127.33,43,0.4186,0.0873,0.1206,False,False
10,HINDUNILVR.NS,-2.4841,9094.15,41,0.4878,0.1253,0.1204,False,False
11,ICICIBANK.NS,-0.7062,10688.47,47,0.5957,0.1003,0.1201,False,False
12,HINDUNILVR.NS,-0.4466,11000.27,57,0.4912,0.0409,0.1199,False,False
13,ICICIBANK.NS,-2.122,9513.41,49,0.551,0.1131,0.1196,False,False
14,ICICIBANK.NS,-1.945,9667.98,43,0.4419,0.084,0.1194,False,False
15,ICICIBANK.NS,-0.6971,11386.14,55,0.5818,0.0368,0.1192,False,False
16,HINDUNILVR.NS,-2.4654,9614.55,46,0.4783,0.108,0.1189,False,False
17,HINDUNILVR.NS,-2.0745,9006.6,46,0.5217,0.0993,0.1187,False,False
18,ICICIBANK.NS,-0.7131,11374.01,48,0.6667,0.0349,0.1184,False,False
19,ICICIBANK.NS,-1.5459,10446.66,41,0.5854,0.0665,0.1182,False,False
20,HINDUNILVR.NS,-3.5225,8982.27,39,0.3846,0.1155,0.118,False,False
21,HINDUNILVR.NS,-2.3224,9345.51,36,0.5556,0.0862,0.1177,False,False
22,HINDUNILVR.NS,-1.6245,10033.72,30,0.5667,0.0314,0.1175,False,False
23,HINDUNILVR.NS,-2.1103,9906.08,37,0.5946,0.0384,0.1173,False,False
24,HINDUNILVR.NS,-3.5054,8724.96,31,0.2903,0.1275,0.117,False,False
25,HINDUNILVR.NS,-2.5095,9618.32,28,0.5357,0.0867,0.1168,False,False
26,ICICIBANK.NS,-2.6976,9388.2,20,0.45,0.1006,0.1166,False,False
27,ICICIBANK.NS,-3.1816,8878.42,16,0.3125,0.1122,0.1163,False,False
28,ICICIBANK.NS,-2.3848,9907.01,5,0.6,0.0157,0.1161,False,False
29,ICICIBANK.NS,-1.9064,10213.34,5,0.6,0.0168,0.1159,False,False
30,ICICIBANK.NS,-2.8986,9545.79,10,0.5,0.0465,0.1156,False,False
31,HINDUNILVR.NS,-2.4965,9878.2,4,0.25,0.0185,0.1154,False,False
32,ICICIBANK.NS,-2.5387,9682.01,10,0.4,0.0568,0.1152,False,False
33,HINDUNILVR.NS,-1.887,10027.25,18,0.5,0.0574,0.1149,False,False
34,HINDUNILVR.NS,-2.4402,9778.58,17,0.3529,0.0488,0.1147,False,False
35,HINDUNILVR.NS,-2.4597,9804.01,9,0.5556,0.0321,0.1145,False,False
36,ICICIBANK.NS,-2.7213,9781.58,20,0.45,0.0498,0.1142,False,False
37,HINDUNILVR.NS,-2.1836,9933.01,17,0.6471,0.0331,0.114,False,False
38,ICICIBANK.NS,-2.4415,9935.15,5,0.4,0.0198,0.1138,False,False
39,HINDUNILVR.NS,-2.1296,9893.63,15,0.6,0.0386,0.1136,False,False
40,ICICIBANK.NS,-1.4681,10669.48,13,0.6154,0.045,0.1133,False,False
41,HINDUNILVR.NS,-2.3985,9559.97,16,0.5625,0.0577,0.1131,False,False
42,ICICIBANK.NS,-2.9532,9578.21,13,0.3846,0.0522,0.1129,False,False
43,HINDUNILVR.NS,-2.4378,9732.11,17,0.4706,0.0439,0.1127,False,False
44,ICICIBANK.NS,-2.0442,10198.92,6,0.6667,0.0207,0.1124,False,False
45,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1122,False,False
46,HINDUNILVR.NS,-2.4242,9999.99,6,0.5,0.0113,0.112,False,False
47,ICICIBANK.NS,-2.5357,9878.43,2,0.0,0.0122,0.1118,False,False
48,HINDUNILVR.NS,-2.4546,9918.93,3,0.3333,0.0166,0.1115,False,False
49,ICICIBANK.NS,-1.7877,10674.52,4,1.0,0.001,0.1113,False,False
50,ICICIBANK.NS,-2.6216,9767.34,2,0.0,0.0233,0.1111,False,False
51,HINDUNILVR.NS,-2.4827,9949.57,1,0.0,0.005,0.1109,False,False
52,ICICIBANK.NS,-2.373,10009.57,1,1.0,0.0006,0.1106,False,False
53,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1104,False,False
54,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1102,False,False
55,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.11,False,False
56,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1098,False,False
57,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1095,False,False
58,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1093,False,False
59,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1091,False,False
60,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1089,False,False
61,ICICIBANK.NS,-2.3946,10033.42,1,1.0,0.0009,0.1087,False,False
62,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1085,False,False
63,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1082,False,False
64,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.108,False,False
65,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1078,False,False
66,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1076,False,False
67,HINDUNILVR.NS,-2.6042,9912.85,1,0.0,0.0087,0.1074,False,False
68,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1072,False,False
69,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1069,False,False
70,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1067,False,False
71,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1065,False,False
72,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1063,False,False
73,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1061,False,False
74,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1059,False,False
75,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1057,False,False
76,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1055,False,False
77,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1052,False,False
78,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.105,False,False
79,ICICIBANK.NS,-2.456,10000.0,0,0.0,0.0,0.1048,False,False
80,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1046,False,False
81,HINDUNILVR.NS,-2.456,10000.0,0,0.0,0.0,0.1044,False,False
