episode,ticker,net_worth,growth_pct,benchmark_pct,alpha_pct,sharpe,sortino,win_rate,trades,head_grad_norm,ext_grad_norm,fus_grad_norm,is_new_best
14,USO,10186.93,1.87,-1.13,3.0,7.02,11.862,0.6,40,0.4171,0.0458,0.5,False
14,XBI,9972.34,-0.28,-1.6,1.32,-2.37,-2.719,0.475,40,0.4171,0.0458,0.5,False
14,XLE,9974.9,-0.25,-3.76,3.51,-1.516,-1.133,0.561,41,0.4171,0.0458,0.5,False
15,AAPL,9990.53,-0.09,0.43,-0.52,-1.43,-1.117,0.575,40,0.3954,0.137,0.5,False
15,ARKK,9970.68,-0.29,5.77,-6.06,-2.152,-2.11,0.487,39,0.3954,0.137,0.5,False
15,GLD,9955.66,-0.44,-1.21,0.77,-8.218,-5.057,0.275,40,0.3954,0.137,0.5,False
15,IWM,10103.71,1.04,3.04,-2.01,5.415,5.875,0.585,41,0.3954,0.137,0.5,False
15,KRE,9962.62,-0.37,5.14,-5.51,-3.464,-2.578,0.475,40,0.3954,0.137,0.5,False
15,NFLX,9963.22,-0.37,-1.11,0.74,-7.921,-7.371,0.366,41,0.3954,0.137,0.5,False
15,NVDA,9949.69,-0.5,-1.46,0.96,-6.893,-5.609,0.429,42,0.3954,0.137,0.5,False
15,PYPL,9924.66,-0.75,7.55,-8.3,-3.63,-3.094,0.429,42,0.3954,0.137,0.5,False
15,QQQ,9987.76,-0.12,1.93,-2.05,-1.819,-1.444,0.475,40,0.3954,0.137,0.5,False
15,SPY,9990.73,-0.09,3.16,-3.26,-5.384,-4.746,0.325,40,0.3954,0.137,0.5,False
15,UNG,9961.56,-0.38,14.57,-14.95,-7.275,-5.38,0.405,42,0.3954,0.137,0.5,False
15,USO,9973.51,-0.26,1.18,-1.44,-0.947,-0.743,0.488,41,0.3954,0.137,0.5,False
15,XBI,9975.06,-0.25,8.23,-8.48,-1.833,-1.868,0.575,40,0.3954,0.137,0.5,False
15,XLE,9985.69,-0.14,-3.17,3.03,-3.373,-3.265,0.3,40,0.3954,0.137,0.5,False
16,AAPL,9970.69,-0.29,-2.47,2.18,-7.122,-6.066,0.415,41,0.2915,0.0323,0.4992,False
16,ARKK,9952.48,-0.48,3.03,-3.51,-8.549,-7.343,0.381,42,0.2915,0.0323,0.4992,False
16,GLD,10011.83,0.12,-1.0,1.11,1.873,1.742,0.513,39,0.2915,0.0323,0.4992,False
16,IWM,10018.03,0.18,-1.73,1.91,2.796,2.477,0.55,40,0.2915,0.0323,0.4992,False
16,KRE,9951.96,-0.48,-4.73,4.25,-8.82,-5.608,0.425,40,0.2915,0.0323,0.4992,False
16,NFLX,9991.14,-0.09,-1.81,1.72,-0.652,-0.61,0.513,39,0.2915,0.0323,0.4992,False
16,NVDA,9936.74,-0.63,-14.42,13.79,-4.117,-3.35,0.595,42,0.2915,0.0323,0.4992,False
16,PYPL,9976.72,-0.23,-0.57,0.34,-2.832,-2.393,0.4,40,0.2915,0.0323,0.4992,False
16,QQQ,9975.49,-0.25,0.48,-0.73,-4.257,-3.678,0.641,39,0.2915,0.0323,0.4992,False
16,SPY,9971.57,-0.28,1.48,-1.76,-10.19,-7.722,0.5,40,0.2915,0.0323,0.4992,False
16,UNG,9971.34,-0.29,6.4,-6.69,-3.755,-3.366,0.405,42,0.2915,0.0323,0.4992,False
16,USO,10012.59,0.13,9.79,-9.67,0.857,0.89,0.415,41,0.2915,0.0323,0.4992,False
16,XBI,10145.51,1.46,2.75,-1.3,5.748,5.927,0.525,40,0.2915,0.0323,0.4992,False
16,XLE,10009.56,0.1,-8.38,8.48,0.453,0.529,0.41,39,0.2915,0.0323,0.4992,False
17,AAPL,9991.31,-0.09,0.21,-0.3,-0.653,-0.631,0.575,40,0.3386,0.0765,0.5,False
17,ARKK,9970.07,-0.3,-8.8,8.5,-5.763,-5.102,0.488,41,0.3386,0.0765,0.5,False
